project_id,год,регион,вуз_код,pat_foreign_2018,pat_foreign_2019,pat_foreign_2020,pat_foreign_2021,pat_foreign_2022,pat_foreign_2023,pat_foreign_2024,pat_foreign_cagr,pat_foreign_query,pat_foreign_total,pat_cagr_rus_18_24,pat_query_ru,pat_rus_2018,pat_rus_2019,pat_rus_2020,pat_rus_2021,pat_rus_2022,pat_rus_2023,pat_rus_2024,pat_rus_total,pub_2018,pub_2019,pub_2020,pub_2021,pub_2022,pub_2023,pub_2024,pub_cagr_18_24,pub_cite_avg,pub_query_en,pub_total,инвестиции,ключевые_слова_nlp,рынок,суть_проекта,справка_команда
P001,2025,Самарская область,U131,0,0,0,0,0,0,0,0,"LLM accounting assistant, NLP financial automation, AI regulatory compliance",0,0.0,LLM-ассистент бухгалтерский учёт,0,0,0,0,0,0,0,0,0,0,1,6,15,182,466,1.7844,404.48,LLM accounting assistant NLP financial automation,670,Окупаемость инвестиций прогнозируется в пределах 24-30 месяцев при консервативном сценарии развития.,"LLM-ассистент бухгалтерский учёт, гибридная архитектура MCP, LLM accounting assistant, NLP financial automation","Рыночный контекст (сектор «Робототехника/автоматизация», данные на момент подачи, 2025): выручка робототехнических компаний РФ (опрос НАУРР) ≈ 17,6 млрд руб. (2021); плотность роботизации кратно ниже мировой; +15,3% до ≈ 20,3 млрд руб. (2022); в мире — рекордные установки промроботов (500+ тыс. ед.); +44,3% до ≈ 29,3 млрд руб. (2023); госкурс на роботизацию промышленности; рынок промышленных роботов РФ ≈ 6,9 млрд руб. (2024); плотность 29 роботов/10 тыс. занятых.",Ассистент [ПРОЕКТ] для автоматизации регламентированного (бухгалтерского) учёта на основе LLM. Гибридная,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P002,2025,Республика Адыгея,U115,0,0,0,0,0,0,0,0,"medical competency assessment, healthcare accreditation, meded platform",0,0.0,ЛУЧ оценка компетенций,0,2,0,1,0,0,0,3,2022,2196,2435,2439,2502,3829,4227,0.1308,2908.88,medical competency assessment healthcare accreditation,19650,Проект реализует ООО [КОМПАНИЯ] (директор — [ОСНОВАТЕЛЬ]).,"[ПРОЕКТ] оценка компетенций медработники, аккредитация врачи ООО Эдиайт, medical competency assessment, healthcare accreditation, meded platform","Рыночный контекст (сектор «MedTech: приборы/диагностика», данные на момент подачи, 2025): рынок медизделий РФ ≈ 497 млрд руб. (2020, Госкомстат), скачок на фоне пандемии; ≈ 559 млрд руб. (2021, +12%); ≈ 593 млрд руб. (2022, +6%); курс на импортозамещение медтехники; ≈ 639 млрд руб. (2023, +8%); производство медоборудования в РФ ≈ 50 млрд руб. (Росстат); медтех-сегмент: рост ≈ +18% (2024) после +27% (2023, Smart Ranking).",Программно-технический комплекс «[ПРОЕКТ]» для оценки навыков (уровня компетенций) медицинских работников (Майкопский ГТУ).,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P003,2022,Свердловская обл,U054,21,15,14,25,18,18,23,153,"vortex heat exchanger, hydrocarbon cooling efficiency, industrial heat exchange",134,-0.3294,вихревые теплообменники,11,11,6,23,6,3,1,61,151,162,184,154,127,218,289,0.1143,575.68,vortex heat exchanger hydrocarbon cooling efficiency,1285,,"вихревые теплообменники, охлаждение углеводородов, vortex heat exchanger, hydrocarbon cooling efficiency, industrial heat exchange","Рыночный контекст (сектор «Энергетика/нефтегаз», данные на момент подачи, 2022): нефтегазовый сектор ≈ 21,7% ВВП РФ (начало 2022); нефтесервис — крупный сегмент ТЭК.",Векторно-вихревые теплообменники для повышения эффективности охлаждения углеводородов.,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P004,2022,Новосибирская обл,U034,2,0,2,0,3,2,1,-1091,"spirulina dietary supplement, cardiovascular nutraceutical, functional food supplement",10,0.0,витаминно-минеральная добавка спирулина,0,0,0,0,0,0,0,0,52,84,100,161,229,327,347,0.3721,692.36,spirulina dietary supplement cardiovascular nutraceutical,1300,"Грант ФСИ «Студенческий стартап» — 1 млн ₽ (очередь II, 2022).","витаминно-минеральная добавка спирулина, БАД для сердца, spirulina dietary supplement, cardiovascular nutraceutical, functional food supplement","Рыночный контекст (сектор «MedTech: приборы/диагностика», данные на момент подачи, 2022): рынок медизделий РФ ≈ 497 млрд руб. (2020, Госкомстат), скачок на фоне пандемии; ≈ 559 млрд руб. (2021, +12%).",«[ПРОЕКТ]» — витаминно-минеральная добавка на основе спирулины для поддержки сердечно-сосудистой системы.,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P005,2022,Москва г,U135,71,66,87,115,98,87,77,136,"capacitive soil moisture sensor, wireless soil monitoring, precision agriculture",601,0.0,ёмкостный датчик влажности,2,4,2,1,3,2,0,14,62,80,106,135,159,259,268,0.2763,551.32,capacitive soil moisture sensor wireless soil monitoring,1069,,"ёмкостный датчик влажности, мониторинг почвы, capacitive soil moisture sensor, wireless soil monitoring","Рыночный контекст (сектор «AgroTech», данные на момент подачи, 2022): ИИ внедряли 11,9% компаний АПК (начало 2022) при средних по экономике 20,8% — низкая база цифровизации.",Производство ёмкостных датчиков влажности почвы в рамках импортозамещения.,"Основатель (данные на момент подачи): образование/статус: студент 4 курса Института мелиорации, водного хозяйства и строительства им. А.Н. Костякова РГАУ-МСХА им. К.А. Тимирязева; разработчик ёмкостного датчика влажности почвы в рамках импортозамещения; есть компетенции в агроэлектронике и сельскохозяйственных измерительных системах."
P006,2025,Свердловская область,U083,0,0,0,0,0,0,0,0,"high-performance backend CMS, web site builder backend, Django CMS platform, Python web development framework",0,0.0,веб-конструктор Django Python,0,0,0,0,0,0,0,0,5,5,9,9,9,8,5,0.0,16.0,high-performance backend CMS web site builder backend,50,Окупаемость инвестиций в [ПРОЕКТ] ожидается в течение 12-18,"веб-конструктор Django Python, high-performance backend CMS, web site builder backend, Django CMS platform, Python","Рыночный контекст (сектор «IT-сервисы/платформы», данные на момент подачи, 2025): объём ИТ-рынка РФ ≈ 1,8 трлн руб. (2020); рост до ≈ 2,2 трлн руб. (2021); спад до ≈ 1,9 трлн руб. на фоне ухода зарубежных вендоров; тиражное ПО ≈ 287 млрд руб. (2022); восстановление ИТ-рынка ≈ +12% (2023), драйвер — импортозамещение ПО; тиражное ПО ≈ 448 млрд руб. (2024), средний рост ≈ 25%/год с 2022.",Платформа для создания и управления сайтами с высокопроизводительным бэкендом на Django/Python.,"Основатель (данные на момент подачи): образование/статус: студент/выпускник Уральского федерального университета; CEO компании SSH, разработчик платформы [ПРОЕКТ] для создания и управления сайтами; автор монографии по комплексной автоматизации испытательных стендов; есть компетенции в веб-разработке и промышленной автоматизации."
P007,2023,Москва,U133,0,0,0,0,0,0,0,0,"urban infrastructure location ML, city planning data analytics, GIS machine learning",0,0.0,размещение инфраструктуры ML,0,0,0,0,0,0,0,0,582,728,931,1505,1590,2475,3464,0.3462,1586.92,urban infrastructure location ML city planning data analytics,11275,,"размещение инфраструктуры ML урбанистика, оптимизация локации объектов, urban infrastructure location ML, city planning data analytics, GIS","Рыночный контекст (сектор «MedTech: приборы/диагностика», данные на момент подачи, 2023): рынок медизделий РФ ≈ 497 млрд руб. (2020, Госкомстат), скачок на фоне пандемии; ≈ 559 млрд руб. (2021, +12%); ≈ 593 млрд руб. (2022, +6%); курс на импортозамещение медтехники.","Проект [ПРОЕКТ] — это веб-сервис, разработанный командой Ikanam. Мы используем алгоритмы машинного обучения и",Основатель (данные на момент подачи): образование/статус: специалист Исследовательского центра искусственного интеллекта Института общественных наук РАНХиГС при Президенте РФ; разработчик сервиса [ПРОЕКТ] для планирования объектов городской инфраструктуры; есть компетенции в анализе данных и городском планировании.
P008,2022,Татарстан Респ,U102,32,42,47,97,122,110,142,2819,"floating foundation, flood resilient building, pontoon foundation",592,0.0,плавающий фундамент,3,2,3,10,1,0,0,19,206,212,194,224,218,321,373,0.104,690.84,floating foundation flood resilient building,1748,,"плавающий фундамент, защита от наводнений, floating foundation, flood resilient","Рыночный контекст (сектор «Строительство/городская среда», данные на момент подачи, 2022): рекордный ввод жилья и объёмы стройработ (2021); 170,9 тыс. сделок с готовым жильём.",Устройство фундамента для наземного понтонного подъёма зданий при наводнениях.,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P009,2024,Республика Мордовия,U124,0,0,0,0,0,0,0,0,"cellulose ester oil sorbent, biodegradable oil absorbent, spill cleanup material",0,-0.2006,сорбент на основе,23,12,13,11,13,7,6,85,19,20,22,30,43,59,70,0.2428,316.24,cellulose ester oil sorbent biodegradable oil absorbent,263,Инвестиции в проект: конвертируемый займ 5 млн,"сорбент на основе целлюлозы нефть, биоразлагаемый нефтесорбент, cellulose ester oil sorbent, biodegradable oil absorbent","Рыночный контекст (сектор «Энергетика/нефтегаз», данные на момент подачи, 2024): нефтегазовый сектор ≈ 21,7% ВВП РФ (начало 2022); нефтесервис — крупный сегмент ТЭК; инвестиции в нефтедобычу РФ +17,7% до ≈ 1,8 трлн руб. (2022); добыча +2%; инвестиции в ТЭК ≈ 10 трлн руб./год — ≈ 30% всех капвложений РФ (2023).",Высокоэффективные экологически безопасные сорбенты на основе эфиров целлюлозы для сбора нефти и,"Основатель (данные на момент подачи): образование/статус: студентка института физики и химии МГУ им. Огарёва, специальность «Фундаментальная и прикладная химия»; есть компетенции в химии сорбентов: разработала биоразлагаемый нефтяной абсорбент; публикации."
P010,2023,Санкт-Петербург,U149,38,57,80,83,144,135,169,2824,"ARTIFICIA LITE project, veterinary tech, digital service",706,0.0,ARTIFICIA LITE проект,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,ARTIFICIA LITE project veterinary tech,0,,"[ПРОЕКТ] проект, ветеринарный стартап СПбГУВМ, [ПРОЕКТ] project, veterinary tech, digital service","Рыночный контекст (сектор «MedTech: приборы/диагностика», данные на момент подачи, 2023): рынок медизделий РФ ≈ 497 млрд руб. (2020, Госкомстат), скачок на фоне пандемии; ≈ 559 млрд руб. (2021, +12%); ≈ 593 млрд руб. (2022, +6%); курс на импортозамещение медтехники.",[ПРОЕКТ] — проект основателя из СПбГУ ветеринарной медицины; детали уточняются.,"Поиск сведений об основателе проведён по открытым источникам за период до даты подачи заявки. По указанному ФИО найдено несколько разных людей с одинаковым именем и фамилией, и точно идентифицировать искомого основателя среди них не удалось. Сведения от такого поиска нельзя надёжно отнести к конкретному основателю — это трудности идентификации, а не отрицательный сигнал."
